solution_id,type,judge,human_label,llm_label,match
1170817,DEBUG,NoData,1,0,False
1211560,IDLE,OLE,1,1,True
1132904,DEBUG,PE,1,1,True
1132904,DEBUG,PE,1,1,True
1308509,DEBUG,AC,1,0,False
1254255,IDLE,MLE,1,1,True
1341071,IDLE,WA,1,1,True
992224,IDLE,WA,1,1,True
1439761,IDLE,WA,1,1,True
1218084,DEBUG,TLE,1,1,True
1340414,IDLE,CE,1,1,True
1221032,IDLE,PE,1,1,True
1332047,IDLE,CE,1,1,True
1378256,IDLE,RE,0,1,False
1117585,IDLE,MLE,1,1,True
1423207,IDLE,MLE,0,1,False
1167814,DEBUG,NoData,1,1,True
1110599,DEBUG,AC,0,0,True
1340459,DEBUG,WA,1,1,True
1418611,IDLE,PE,1,1,True
1162233,DEBUG,NoData,1,1,True
1362671,IDLE,CE,0,1,False
1306562,IDLE,CE,0,1,False
1081174,IDLE,AC,1,0,False
1315152,IDLE,MLE,1,1,True
1084327,IDLE,TLE,0,1,False
1037614,IDLE,OLE,1,1,True
1170817,DEBUG,NoData,1,0,False
1267501,DEBUG,WA,1,0,False
1434065,IDLE,WA,0,1,False
1267559,DEBUG,WA,1,1,True
1331402,IDLE,RE,1,1,True
1132896,DEBUG,PE,1,1,True
1044971,IDLE,PE,1,1,True
1366530,DEBUG,NoData,1,1,True
1423586,IDLE,TLE,0,1,False
1310273,DEBUG,AC,1,0,False
1250736,IDLE,NoData,1,1,True
1331402,IDLE,RE,1,1,True
1167800,DEBUG,NoData,1,1,True
1072733,IDLE,MLE,0,1,False
1132907,DEBUG,PE,0,1,False
1259941,IDLE,TLE,1,1,True
1435074,DEBUG,WA,0,1,False
1268406,IDLE,NoData,0,1,False
1375570,IDLE,RE,1,1,True
1024866,IDLE,MLE,1,1,True
1132855,DEBUG,PE,1,0,False
1350070,DEBUG,TLE,1,0,False
1165335,IDLE,CE,1,1,True
1213809,IDLE,TLE,0,1,False
1329838,IDLE,RE,1,1,True
1248473,DEBUG,WA,1,1,True
1385707,IDLE,MLE,1,1,True
1438301,IDLE,TLE,1,1,True
1360952,DEBUG,NoData,1,0,False
1369836,IDLE,NoData,1,1,True
1209755,IDLE,AC,1,0,False
1117585,IDLE,MLE,0,1,False
1162862,IDLE,PE,1,1,True
1296622,DEBUG,AC,0,0,True
1375111,IDLE,RE,1,1,True
1379734,IDLE,CE,1,1,True
1167771,DEBUG,NoData,1,1,True
1344866,IDLE,AC,1,0,False
1046926,IDLE,WA,1,1,True
1100347,DEBUG,WA,1,1,True
1152912,IDLE,AC,0,1,False
1259459,DEBUG,AC,0,1,False
1283120,IDLE,PE,1,1,True
1426080,IDLE,OLE,1,1,True
1440343,IDLE,TLE,1,1,True
1261251,IDLE,MLE,1,1,True
1421900,IDLE,NoData,1,1,True
