solution_id,problem_id,judge,type,detail,duration_s,total_keys,code_at_trigger,submitted_code,keys_10s_before,keys_10s_after,keys_20s_before,keys_20s_after,keys_30s_before,keys_30s_after,label
1170817,2090,NoData,DEBUG,bs_pause_2x,1766.8,377,"vm, %d,& mint MmsM,N[m[n;
forin(niint i=0;i<m;i++{
for(int j=0,;;j,<n,NN,j++{
M[i,j[j=&scanf(""""%d,);
cv-3
if
if(if(mif(
}
fif(m<3&&n<3-3int M[m[nn;N-3if(nN[j==N[j+1[]i[i] && N[i[j+1==N[i[j+2{
M[j==[]i1;M[]i[j]==0?:M[i[j==3;

-3c
v-3+1+1+22
cvMif(==1;{}N[i[j=0;cvvv+1+2c
v
v||cv323cv0+1","#include <stdio.h>

int main(){
    int m,n;
    while(scanf(""%d %d"",&m,&n)!=EOF){
        int N[m][n];int M[m+3][n+3];
        for(int i=0;i<m;i++){
            for(int j=0;j<n;j++){
                scanf(""%d"",&N[i][j]);
            }
        }
        for(int i=0;i<m;i++){
            for(int j=0;j<n-3;j++){
                if(N[i][j]==N[i][j+1] && N[i][j+1]==N[i][j+2]){
                    M[i][j]==0?M[i][j]=1:M[i][j]==3;
                }
            }
        }
        for(int i=0;i<m-3;i++){
            for(int j=0;j<n;j++){
                if(N[i][j]==N[i+1][j] && N[i+1][j]==N[i+2][j]){
                    M[i][j]==0?M[i][j]=2:M[i][j]==3;
                }
            }
        }
        for(int i=0;i<m;i++){
            for(int j=0;j<n;j++){
                if(M[i][j]==1||M[i][j]==3){N[i][j]=0;N[i][j+1]=0;N[i][j+2]=0;}
                if(M[i][j]==2||M[i][j]==3){N[i][j]=0;N[i+1][j]=0;N[i+2][j]=0;}
            }
        }
    }
    return 0;
}",Backspacex6,Backspace,Backspacex6,Backspace,Backspacex6,Backspace,
1211560,1525,OLE,IDLE,pause_124s,1294.5,552,"v

int main(
{
ret 0;
int jiaodu=0;//
j+=90-=90qi
int n=0;
whi(scanf(""%d,&n!!=EOF)
{
for(int i=0;i<n;i++
{
cahar turn='0;
scan(""%get(tu;
if(tu=='R
{
j+=90;
//
el
{
ji-=90;
wi(jia1od<jiaod=jia%360;0;
sw(j
{
case 0:pr(""N\n;br;
ca 90:pr(""E\n;brl;
cajiaodw(jiaod<0
{
joaia+=360;
jia=jia%360; 180:pr(""S\n;br;
ca 270:pr(""W\bn;br;trurur=","#include <stdio.h> 
#include <stdlib.h> 
#include <string.h> 
#include <math.h> 
#include <stdbool.h> 

int main()
{
    
    //规定顺时针为加角度，逆时针为减角度
    int n=0;
    while(scanf(""%d"",&n)!=EOF)
    {
        int jiaodu=0;//以北方为0度，初始角度
        getchar();
        for(int i=0;i<n;i++)
        {
            char turn='0';
            scanf(""%c"",&turn);
            printf(""%c"",turn);
            if(turn=='R')
            {
                jiaodu+=90;
            }
            else if(turn=='L')
            {
                jiaodu-=90;
            }
        }
        while(jiaodu<0)
        {
            jiaodu+=360;
        }
        jiaodu=jiaodu%360;
        printf(""%d"",jiaodu);
        switch(jiaodu)
        {
            case 0:printf(""N\n"");break;
            case 90:printf(""E\n"");break;
            case 180:printf(""S\n"");break;
            case 270:printf(""W\n"");break;
        }
    }
    
    return 0;
}",,"s → c → Shift → ( → Shift → "" → \ → Shift → % → c → ,",,"s → c → Shift → ( → Shift → "" → \ → Shift → % → c → , → t → Shift → &",,"s → c → Shift → ( → Shift → "" → \ → Shift → % → c → , → t → Shift → & → ;",
1132904,2112,PE,DEBUG,bs_pause_2x,1498.0,915,"#include <stdio.hg>
int mianain(
{
int n;
whikele(sxcanfcamf(""%smm,%d"",&n !=EOF
{
)ifor(*int i=0;i<n;i++
{

int num[n;scanf(""%d0,nuimumm[i;
for(int i=0;i<2;i++
{
scanf(""%s,d %s   
int cmd1;
char smdcmsd2;smdcmd1;cmd2);
if(cmd2=='L00
{
fior(int i=0;i<n;i++
{
printf(""
if(icmd1%n(+1)-1%d ,num[i;
for(int i=0;i<cmd1%(n+1;i++
{
printf(""%d ,num[i;
printf(:\n""""';
else if(cmsd==2=='R00
{
v

reutrn turn 0;
printf(:""\n;;,&&nn--1-v><n-10vn0v=c&
int count=0;
count+_++;
count++;
if(count>1==12
printf(""\n;
v
int count=0;
v
count++;
count++ ","#include <stdio.h>
int main()
{
    int n;
    while(scanf(""%d"",&n) !=EOF)
    {
        int num[n];
        for(int i=0;i<n;i++)
        {
            scanf(""%d"",&num[i]);
        }
        int cmd1;
        char cmd2;
        scanf(""%d %c"",&cmd1,&cmd2);
        if(cmd2=='L')
        {
            int count=0;
            for(int i=cmd1%(n);i<n;i++)
            {
                printf(""%d "",num[i]);
                count++;
                if(count==12)
                {
                    count-=12;
                    printf(""\n"");
                }
            }
            for(int i=0;i<cmd1%(n);i++)
            {
                printf(""%d "",num[i]);
                count++;
                 if(count==12)
                 {
                     count-=12;
                printf(""\n"");
                 }
            }
            if(count<=12)
            printf(""\n"");
        }
        else if(cmd2=='R')
        {
            int count=0;
            for(int i=n-cmd1%(n);i<n;i++)
            {
                printf(""%d "",num[i]);
                count++;
                 if(count==12){
                     count-=12;
                printf(""\n"");}
            }
            for(int i=0;i<n-cmd1%(n);i++)
            {
                printf(""%d "",num[i]);
                count++;
                 if(count==12){count-=12;
                printf(""\n"");}
            }
            if(count<12)
            printf(""\n"");
        }
        printf(""\n"");
    }
    return 0;
}",Backspace →  x2 → Backspace,Backspace → Control → v,5 →   → Backspacex9 →  x2 → Backspace,Backspace → Control → v,  → 1 → 3 →   → 5 →   → Backspacex9 →  x2 → Backspace,Backspace → Control → v → Control → Insert → /x2,
1132904,2112,PE,DEBUG,bs_pause_2x,1498.0,915,"#include <stdio.hg>
int mianain(
{
int n;
whikele(sxcanfcamf(""%smm,%d"",&n !=EOF
{
)ifor(*int i=0;i<n;i++
{

int num[n;scanf(""%d0,nuimumm[i;
for(int i=0;i<2;i++
{
scanf(""%s,d %s   
int cmd1;
char smdcmsd2;smdcmd1;cmd2);
if(cmd2=='L00
{
fior(int i=0;i<n;i++
{
printf(""
if(icmd1%n(+1)-1%d ,num[i;
for(int i=0;i<cmd1%(n+1;i++
{
printf(""%d ,num[i;
printf(:\n""""';
else if(cmsd==2=='R00
{
v

reutrn turn 0;
printf(:""\n;;,&&nn--1-v><n-10vn0v=c&
int count=0;
count+_++;
count++;
if(count>1==12
printf(""\n;
v
int count=0;
v
count++;
count++;2","#include <stdio.h>
int main()
{
    int n;
    while(scanf(""%d"",&n) !=EOF)
    {
        int num[n];
        for(int i=0;i<n;i++)
        {
            scanf(""%d"",&num[i]);
        }
        int cmd1;
        char cmd2;
        scanf(""%d %c"",&cmd1,&cmd2);
        if(cmd2=='L')
        {
            int count=0;
            for(int i=cmd1%(n);i<n;i++)
            {
                printf(""%d "",num[i]);
                count++;
                if(count==12)
                {
                    count-=12;
                    printf(""\n"");
                }
            }
            for(int i=0;i<cmd1%(n);i++)
            {
                printf(""%d "",num[i]);
                count++;
                 if(count==12)
                 {
                     count-=12;
                printf(""\n"");
                 }
            }
            if(count<=12)
            printf(""\n"");
        }
        else if(cmd2=='R')
        {
            int count=0;
            for(int i=n-cmd1%(n);i<n;i++)
            {
                printf(""%d "",num[i]);
                count++;
                 if(count==12){
                     count-=12;
                printf(""\n"");}
            }
            for(int i=0;i<n-cmd1%(n);i++)
            {
                printf(""%d "",num[i]);
                count++;
                 if(count==12){count-=12;
                printf(""\n"");}
            }
            if(count<12)
            printf(""\n"");
        }
        printf(""\n"");
    }
    return 0;
}",3 →   → 5 →   → Backspacex7,Backspacex2 →  ,2 → 8 →   → 1 → 3 →   → 5 →   → Backspacex7,Backspacex2 →  x2 → Backspacex2 → Control → v,Control → Insert → Backspacex2 → 2 → 8 →   → 1 → 3 →   → 5 →   → Backspacex7,Backspacex2 →  x2 → Backspacex2 → Control → v,
1308509,1512,AC,DEBUG,bs_pause_2x,1000.8,279,"#
 
 
  

 
","#include<stdio.h>
int main(){
    int n;
    while(scanf(""%d"",&n)!=EOF){
        if(n==0) break;
        int sum=0;
        while(n>0){
            int temp=n%16;
            if(temp<10) sum+=temp;
            n/=16;
        }
         printf(""%d\n"",sum);
    }
    return 0;
}",,Backspacex2 → Unidentifiedx2,,Backspacex2 → Unidentifiedx9,Unidentifiedx2,Backspacex2 → Unidentifiedx9 → Enter → Unidentifiedx3 →  ,
1254255,1514,MLE,IDLE,pause_65s,1057.6,394,"for(int i=0;i<t;i+=3{

int a=s[i-'0;
int b=s[i+1-'0;
int c=s[i+2-'0;
int n=a*100+b*10+c;
if(!isprime(n{
cnt=1;if(cnt==1{
printf(""NO\n;else{
printf(""YES\n;

if(x==1{


int cnt1112=0;for(int i=0;i<t-1;i++{
}if(isprime(s[t-1-'0!{
cnt2=12;2}

if(x==2{



int cnt3=0;23ifint a1=s[t-2-'0;
int b1=s[t-1-'0;
int m=a1*10+b1;
if(isprime(m!{
cnt3=1;c","#include<stdio.h>
int isprime(int n){
    if(n==1)return 0;
    if(n==2)return 1;
    int count=0;
    if(n>=3){
        for(int i=2;i*i<=n;i++){
            if(n%i==0){
                count=1;
            }
        }
        if(count==1)return 0;
        else{
            return 1;
        }
    }
    
}
int main(){
    char s[1000000005];
    while(scanf(""%s"",s)!=EOF){
        int t=strlen(s);
        int x=t%3;
        if(x==0){
            int cnt1=0;
            for(int i=0;i<t;i+=3){
                int a=s[i]-'0';
                int b=s[i+1]-'0';
                int c=s[i+2]-'0';
                int n=a*100+b*10+c;
                if(!isprime(n)){
                    cnt1=1;
                }
                
            }if(cnt1==1){
                printf(""NO\n"");
            }else{
                printf(""YES\n"");
            }
        }
        
        if(x==1){
            int cnt2=0;
            for(int i=0;i<t-1;i++){
                
                int a=s[i]-'0';
                int b=s[i+1]-'0';
                int c=s[i+2]-'0';
                int n=a*100+b*10+c;
                if(!isprime(n)){
                    cnt2=1;
                }}if(!isprime(s[t-1]-'0')){
                    cnt2=1;
                }
                if(cnt2==1){
                printf(""NO\n"");
            }else{
                printf(""YES\n"");
            }
            
            
        }
        
        if(x==2){
            int cnt3=0;
            for(int i=0;i<t-2;i++){
                
                int a=s[i]-'0';
                int b=s[i+1]-'0';
                int c=s[i+2]-'0';
                int n=a*100+b*10+c;
                if(!isprime(n)){
                    cnt3=1;
                }}
            int a1=s[t-2]-'0';
            int b1=s[t-1]-'0';
            int m=a1*10+b1;
            if(!isprime(m)){
                cnt3=1;
            }
            if(cnt3==1){
                printf(""NO\n"");
            }else{
                printf(""YES\n"");
            }
        }
        
    }
    
    
    
    return 0;
}",,3,,3,,3,
1341071,1900,WA,IDLE,pause_70s,1046.9,349,"

ccrwosows0cint row=2*n-1;
int lie=+122*n-1;
char tuxin[row[lie;
for(int i=0;i<lie;i++{
printf(""*;
printf(""\n;;for(int i=0;i<lie;i++{
char[","#include <stdio.h>
int main() {
    int n;
    while (scanf(""%d"", &n) != EOF) {
        int row=n+2;
        int lie=2*n-1;
        char tuxin[row][lie];
        for(int i=0;i<lie;i++){
          tuxin[0][i]='*';
        }
        printf(""\n"");
    for(int i=0;i<n;i++){
        tuxin[i+1][0]=tuxin[i+1][lie-1]='A'+i;
    }for(int i=0;i<lie;i++){
        tuxin[row-1][i]='*';
    }
    
    printf(""%c\n"",tuxin[row][lie]);
    }
    return 0;
}",,i → Shift → + → 1,,i → Shift → + → 1 → = → [ → 0,,i → Shift → + → 1 → = → [ → 0 → =x2 → c → h → a → r → [ → i,
992224,1510,WA,IDLE,pause_70s,1742.6,1068,"@# <stdio.h>

it nt main({
return 0;

int a,b,c,d;
char f';
ewhile(scafnnf(""%d/%d%c%d/%d,&a,&b,&ce,&c,&d!=EOF{
if(ainyt fm=b*d;
if(e=='-{
'{
fz=a%#*d-d*b;c
itnt fz;else if(e=='+{
{
fz=a*d+b*c;
if9(for(int i=0;i;i++{
ifi<(fm>fz?fz:fm(12fm/i==0&&fz/i==0{
fm/=i;
fz/=oi;
if(fz>fm{
if(fz/fm==0{
a
if(fz==0{
printf(""0\n;else if[{                                          
}printf(""%d\n,fz/fm;%%%else if([
{
fz-fm;int z=
/fif(fz<=0{
int z=fz/fm+1-1;
fz=fz-z*gfm;
printf('""%d+%d\n,z,faz;/%d,fm/%d,else{
int z=fz/fm;
fz=fz-z*fm;
printf(""%d+%d/%d\n,z,fz,fm';d/","#include <stdio.h>

int main(){
    int a,b,c,d;
    char e;
    while(scanf(""%d/%d%c%d/%d"",&a,&b,&e,&c,&d)!=EOF){
        int fm=b*d;
        int fz;
        if(e=='-'){
            fz=a*d-c*b;
        }else if(e=='+'){
            fz=a*d+b*c;
        }
        if(fz==0){
            printf(""0\n"");
        }else{
            if(fz<0){
                int a=-fz;
                for(int i=2;i<(fm>a?a:fm);i++){
                    if(fm%i==0&&a%i==0){
                       fm/=i;
                       a/=i;
                   }
                }
                fz=-a;
                if(fm==1){
                    printf(""%d\n"",fz);
                }
                else{
                    if(-fz>fm){
                        int z=fz/fm-1;
                        fz=fz-z*fm;
                        printf(""%d+%d/%d\n"",z,fz,fm);
                    }else if(-fz<fm){
                        printf(""%d/%d\n"",fz,fm);
                    }
                }
            }else if(fz>0){
                for(int i=2;i<(fm>fz?fz:fm);i++){
                   if(fm%i==0&&fz%i==0){
                       fm/=i;
                       fz/=i;
                    }
                }
                if(fm==1){
                    printf(""%d\n"",fz);
                }else{
                    if(fz>fm){
                        int z=fz/fm;
                        fz=fz-z*fm;
                        printf(""%d+%d/%d\n"",z,fz,fm);
                    }
                    else if(fz<fm){
                        printf(""%d/%d\n"",fz,fm);
                    }
                }
            }
        }
    }
    return 0;
}",,e → k → l → s → e → l → s → e → Shift → {,,e → k → l → s → e → l → s → e → Shift → { →   → i → f → Shift → ( → f → z,,e → k → l → s → e → l → s → e → Shift → { →   → i → f → Shift → ( → f → z → f → z → Shift → > → f → m → Shift → { → Enter → p → r → i → n → t,
1439761,1868,WA,IDLE,pause_73s,1649.6,1039,"{



int dist[]10005[]1005;
priority_queue<>int,vector<>int.,greater<>int p;
p,/.push(start;
while(!qp.empty({


for(int i=0;i<,int nn1n=n;i++{
return dist[]i=INF;
const INF=int INF=0x3f3f3f3f;

dist[]start=0;
vector<>conttype pair<>int,int pml;l g[]1005;

int u,v,weight;
cin>>u>>v>>weight;
g[]u.pyusypush)_back();{}weight,vc
 //1 _-=>weight 20->;
{}0,start

autiiutit to it =q.top(;
itint d=it.first;
int mu=it.second;q.pop(;

if()d>dist[]uu continue;
for()auoto it:g[]u{
if()dist[][]w,vdist[]v>dist[]u+w{
dist[]v=dusist[p]u+w;
queuep.push({dist[]v,v;}

voiddi)*(st1,n;
cout<<dist[]n<<endl;l;llqqqq","#include<bits/stdc++.h>
using namespace std;
const int INF=0x3f3f3f3f;

typedef pair<int,int> l; //1->距离 2->目的地;
int dist[1005];
vector<l> g[1005];

void dijstra(int start,int n){
    for(int i=1;i<=n;i++){
        dist[i]=INF;
    }
    
    dist[start]=0;
    priority_queue<l,vector<l>,greater<l>> q;
    q.push({0,start});
    
    while(!q.empty()){
        auto it =q.top();
        int d=it.first;
        int u=it.second;
        q.pop();
        
        if(d>dist[u]) continue;
        for(auto [w,v]:g[u]){
            if(dist[v]>dist[u]+w){
                dist[v]=dist[u]+w;
                q.push({dist[v],v});
            }
        }
        
    }
    
}


int main(){
    int n,m;
    while(cin>>n>>m){
        for(int i=1;i<=n;i++){
            g[i].clear();
        }
     
        if(n==0&&m==0){
            break;
        }
        
        for(int i=0;i<m;i++){
            int u,v,weight;
            cin>>u>>v>>weight;
            g[u].push_back({weight,v});
        }
        
        dijstra(1,n);
        
        cout<<dist[n]<<endl;
        
        
    }
}",,Enter → i → f → Shift → ( → ) → d → i → s → t → [ → ],,Enter → i → f → Shift → ( → ) → d → i → s → t → [ → ] → Enter,,Enter → i → f → Shift → ( → ) → d → i → s → t → [ → ] → Enter,
1218084,1070,TLE,DEBUG,bs_pause_2x,709.9,552,"#clude<stdio.h>
int main({
int n,t ,m;
while(scanf(""%d %d %d ,&n.,t&t,&m!=EOFD{
int amelon[n;
for(int i=0;i<n;i++{

  sscanf(for(int i=0;i<=in;i+=+[
{
scanf(""%d,mel[i;
foritnnt total=0;
for(

int i=0;; i<+m<=n-1;i=i+3{
taooto=count int res=0;
res=for(int kqqqqq=0;i++k++k<31=3;k++{
res=+=mel[0m++q+k;
if(res<=t ","#include<stdio.h>
int main(){
    int n,t,m;
    while(scanf(""%d %d %d"",&n,&t,&m)!=EOF){
        int melon[n];
        for(int i=0;i<n;i++){
            scanf(""%d"",&melon[i]);
        }
        int count=0;
        int q=0;
        for(;q+m<=n-1;q++){
            int res=0;
            for(int k=0;k<m;k++){
                res+=melon[q+k];
            }
            if(res<=t) count++;
        }
        printf(""%d\n"",count);
    }
}",Backspacex20,Backspacex3,Backspacex20,Backspacex4 → c → Control → v,Backspacex20,Backspacex4 → c → Control → v,
