window_id,label,judge,duration_s,total_keys,current_idle_s,keys_5s,text_keys_5s,modifier_keys_5s,clipboard_ops_5s,keys_10s,text_keys_10s,keys_30s,text_keys_30s,modifier_keys_30s,clipboard_ops_30s,keys_60s,text_keys_60s,backspace_30s,enter_30s,pause_count_30s,pause_total_30s,code_replay
1061476-w001,0,WA,422.4,414,0.586,9,5,4,0,14,9,66,22,44,0,109,61,0,2,4,11.767,"#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a;      i<n;i++ {
        scanf(""%d ,
                   a ;
        if(a%22"
1061476-w002,0,WA,422.4,414,1.069,14,5,9,0,23,8,41,24,17,0,68,44,0,1,0,0.0,"#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a;      i<n;i++ {
    while(scanf(""%d ,&n !=EOF
                   a ;
        if(a%2==0 {
            count++;


    pr    (""%d ,cou   ;
    retur  0;"
1061476-w003,0,WA,422.4,414,0.212,6,6,0,0,6,6,12,12,0,0,20,20,0,0,4,24.978,"#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a[1000005<n;i++ {
    while(scanf(""%d ,&n !=EOF {
                   a ;
        if(a%2==0 { [i
            [i]nt++;


    pr    (""%d ,cou   ;
    }etur  0;
"
1061476-w004,0,WA,422.4,414,0.653,6,5,1,0,12,11,29,26,3,0,104,61,0,0,3,12.756,"#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a[1000005<n;i++ {
    while(scanf(""%d ,&n !=EOF {
                   a ;
           a%2==0 { [i
        }   [i]nt++;
        for(int i=0;i<n;i++ {
            if(a[i %2==0 {
    pr    (""%d ,count++;
    }etur  0;

        pr    (""%d ,count ;
    }"
1061476-w005,1,WA,422.4,414,74.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a[1000005<n;i++ {
    while(scanf(""%d ,&n !=EOF {
                   a ;
           a%2==0 { [i
        }   [i]nt++;
        for(int i=0;i<n;i++ {
            if(a[i %2==0 {
    pr    (""%d ,count++;
    }etur  0;

        pr    (""%d ,count ;
    }"
1005008-w001,1,TLE,368.7,261,37.125,0,0,0,0,0,0,0,0,0,0,36,29,0,0,0,0.0,"#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
"
1005008-w002,-1,TLE,368.7,261,12.784,0,0,0,0,0,0,5,5,0,0,27,27,0,1,1,3.294,"#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
        int found10;
        int f    2=0;
"
1005008-w003,0,TLE,368.7,261,0.716,2,2,0,0,6,5,32,28,4,0,44,37,0,2,3,10.571,"#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
        int found10;
        int f    2=0;
        if(n>2&&n%2==0 {
            f     =1;

        for(int a=1;a<n;"
1005008-w004,0,TLE,368.7,261,1.37,5,4,1,0,12,10,24,20,4,0,51,44,0,2,3,15.695,"#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
        int found10;
        int f    2=0;
        if(n>2&&n%2==0 {
            f     =1;

        for(int a=1;a<n;a+=2 {
            for(int b=1;b<=a;b+=2 {
                if((a+b ==n {
                    f"
1005008-w005,0,TLE,368.7,261,7.433,0,0,0,0,6,6,27,23,4,0,55,45,0,3,3,7.059,"#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
        int found10;
        int f    2=0;
        if(n>2&&n%2==0 {
            f     =1;

        for(int a=1;a<n;a+=2 {
            for(int b=1;b<=a;b+=2 {
                if((a+b ==n {
                    f     =1;



        if(f     &&f      {
            pri   (""Yes\n  ;
         el  {
            p     (""No\n  ;


    ret    0;"
1201971-w001,0,AC,1683.0,1127,4.564,1,1,0,0,1,1,13,11,2,0,18,16,0,2,3,21.006,"#include<stdio.h>
#define MAX 51S
int a[MAX [MAX ,m[MAX [MAX ;
    int n,m;
    while(scanf(""%d%d ,&n,&m !=EOF
    {      ,k=0s
        int a[n [m ;
        cor(int i=0;i<n;i++s
            for(int j=0;j<m;j++s
                scanf(""%d ,&[i [jaa;
        v       s
        for(int i=0;i<n;i++s
        {   for(int j=0;j<m;j++s
            k=0;s
        }   while(k<ms[s;s
            {
        v       s"
1201971-w002,0,AC,1683.0,1127,59.19,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0.0,"#include<stdio.h>
#define MAX 51S
int a[MAX [MAX ,m[MAX [MAX ;
    int n,m;
    while(scanf(""%d%d ,&n,&m !=EOF
    {      ,k,ts
        int a[n [m ;
        cor(int i=0;i<n;i++s
            for(int j=0;j<m;j++s
                scanf(""%d ,&[i [jaa;
        v       s
        for(int i=0;i<n;i++s
        {   for(int j=0;j<m;j++s
            k=0,s=0s
        }   t=k+1;s<ms[s;s
            {
        v       if(a[is[ks==a[is
                while(t<m&&a[is[kt==a[is[t  t+=1;w
                {
                    k+=1;s"
1201971-w003,0,AC,1683.0,1127,0.147,17,14,3,0,27,23,77,67,10,0,83,72,0,7,2,5.57,"#include<stdio.h>
#define MAX 51S
int a[MAX [MAX ,m[MAX [MAX =
    int n,m;
    while(scanf(""%d%d ,&n,&m !=EOF
    {      ,k,t,ls
        int a[n [m ;
        cor(int i=0;i<n;i++s
        c   for(int j=0;j<m;j++s
                scanf(""%d ,&[i [jaa;
        v       s
        for(int i=0;i<n;i++s
        {   for(int j=0;j<m;j++s
            k=0,s=0s
        }   t=k+1;s<ms[s;s
            {
        v       if(a[is[ks==a[is
                while(t<m&&a[is[kt==a[is[t  t+=1;w
                l =t-k;s
                if(l>=3s;s
                {
                    for(int j=k;j<t;j++s
                        mais[j =0;s

                k = t;s


        for(int i=0;i<m;i++s
        {
            k=0;hilnt
            while(k<n;s
            {rintf(""\ns ;s
                t = k+1;s
        v       while(t<n&&"
1201971-w004,0,AC,1683.0,1127,2.708,2,2,0,0,8,7,27,22,5,0,56,48,0,3,4,12.132,"#include<stdio.h>
#define MAX 51S
int a[MAX [MAX ,m[MAX [MAX ={0s
    int n,m;
    while(scanf(""%d%d ,&n,&m !=EOF
    {      ,k,t,ls
        int a[n [m ;
        cor(int i=0;i<n;i++s
        c   for(int j=0;j<m;j++s
                scanf(""%d ,&[i [jaa;
        v       s
        for(int i=0;i<n;i++s
        {   for(int j=0;j<m;j++s
            k=0,s=0s
        }   t=k+1;s<ms[s;s
            {
        v       if(a[is[ks==a[is
                while(t<m&&a[is[kt==a[is[t  t+=1;w
                l =t-k;s
                if(l>=3s;s
                {
                    for(int j=k;j<t;j++s
                        mais[j =01s

                k = t;s


c       for(int i=0;i<m;i++s
        {
            k=0;hilnt
            while(k<n;s
            {rintf(""\ns ;s
                t = k+1;s
        v       while(t<n&&a[k [i ==a[t [is t+=1;s
                l = t-kss
                if(l>=3s
                {
                    for(int j=k;j<t;j++s
                        m[j [is=01s

                k = t;s

        }s
        for(int i=0;i<n;i++a


            {
                if(m[s
            }"
1201971-w005,0,AC,1683.0,1127,17.994,0,0,0,0,0,0,8,4,4,3,51,41,0,0,2,10.689,"#include<stdio.h>
#include<string.h>s
int a[MAX [MAX ,m[MAX [MAX ={zsz
v   int n,m;
    while(scanf(""%d%d ,&n,&m !=EOF
    {      ,k,t,ls
        int a[n [m ;
        cor(int i=0;i<n;i++s
        c   for(int j=0;j<m;j++s
        v       scanf(""%d ,&[i [jaa;
        v       s
        for(int i=0;i<n;i++s
        {   for(int j=0;j<m;j++s
            k=0,s=0s
        }   t=k+1;s<ms[s;s
            {
        v       if(a[is[ks==a[is
                while(t<m&&a[is[kt==a[is[t  t+=1;w
                l =t-k;s
                if(l>=3s;s
                {
                    for(int j=k;j<t;j++s
                        aais[j =zzs

                k = t;s


c       for(int i=0;i<m;i++s
        {
            k=0;hilnt
            while(k<n;s
            {rintf(""\ns ;s
                t = k+1;s
        v       while(t<n&&a[k [i ==a[t [is t+=1;s
                l = t-kss
                if(l>=3s
                {
                    for(int j=k;j<t;j++s
                        a[j [is=zzs

                k = t;s

        }s
        for(int i=0;i<n;i++a


            {z
                if(msz zzsz1 zzzszzsz0;zz
            }
                if(m[i([js printf(""0   ;







 c"
1154790-w001,1,WA,1274.4,188,22.039,0,0,0,0,0,0,4,4,0,0,8,8,0,0,0,0.0,"
















        m=y/6;


        1"
1154790-w002,0,WA,1274.4,188,17.774,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0.0,"











          b
                       b


    int n=y%6;m
        m=y/6; 6*+1


        1

                       +2*m 0"
1154790-w003,0,WA,1274.4,188,119.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"











          b   0
                       b


    int n=y%6;m
        m=y/6; 6*+1


 c      1

                       +2*m 0"
1154790-w004,0,WA,1274.4,188,45.703,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0.0,"











          b   0
                       b


    int n=y%6;m
     c  m=y/6; 6*+1
    int extra=0;
    v     a
 c      1      n      a

           extra       +2*m 0


    3
                           -extra-2*n+1"
