window_id,solution_id,judge,current_idle_s,keys_5s,keys_10s,keys_30s,text_keys_30s,keys_60s,text_keys_60s,backspace_30s,enter_30s,control_30s,clipboard_ops_30s,row_changes_30s,column_changes_30s,my_label,reason,key_summary,code_replay
1061476-w005,1061476,WA,74.577,0,0,0,0,0,0,0,0,0,0,0,0,0,前100条已完成复核，沿用AI最终标签,""" -> Shiftx2 -> % -> Shift -> d -> , -> Enter -> i -> n -> t ->   -> a -> ; -> a -> ; -> Enter -> i -> f -> Shift -> ( -> a -> Shiftx4 -> % -> 2x2 -> =x2 -> 0 -> Shift -> { -> Enter -> o -> c -> u -> n -> t -> Shift -> +x2 -> ; -> Enter -> p -> r -> Shiftx7 -> ( -> "" -> % -> d -> , -> c -> o -> u -> ; -> Enter -> r -> t -> e -> u -> r -> 0 ->   -> ; -> Enter -> w -> h -> i -> l -> e -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> "" -> % -> d -> , -> Shiftx6 -> & -> n -> Shiftx8 -> ! -> = -> Shift -> E -> O -> F -> Shift -> { -> Enter -> Shift -> } -> Backspace -> Enter -> [ -> 1 -> 0x5 -> 5 -> [","#include<stdio.h>
int main(void {
    int n;
    int count=0;
    int a[1000005<n;i++ {
    while(scanf(""%d ,&n !=EOF {
                   a ;
           a%2==0 { [i
        }   [i]nt++;
        for(int i=0;i<n;i++ {
            if(a[i %2==0 {
    pr    (""%d ,count++;
    }etur  0;

        pr    (""%d ,count ;
    }"
1005008-w001,1005008,TLE,37.125,0,0,0,0,36,29,0,0,0,0,0,0,1,前100条已完成复核，沿用AI最终标签,"Shift -> # -> i -> n -> c -> l -> u -> d ->   -> e -> Shift -> < -> s -> d -> t -> i -> o -> . -> h -> Shift -> > -> Enter -> i -> t ->   -> n -> m -> a -> i -> n -> Shift -> ( -> { -> Enter -> Shift -> i -> n -> t ->   -> n -> ; -> Enter -> w -> h -> i -> l -> ; -> ex2 -> Shift -> ( -> s -> c -> a -> n -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d -> , -> n -> Shift -> ! -> = -> Shift -> E -> F -> O -> Shift -> { -> Enter","#include <stdio.h>
int main( {
    int n;
    while(scanf(""%d ,n !=EOF {
"
1154790-w001,1154790,WA,22.039,0,0,4,4,8,8,0,0,0,0,0,3,-1,前100条已完成复核，沿用AI最终标签,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ;,"
















        m=y/6;


        1"
1154790-w005,1154790,WA,0.491,2,2,3,3,3,3,0,0,0,0,1,2,-1,前100条已完成复核，沿用AI最终标签,2 ->   -> 1x2 -> Backspacex5 -> Enter ->   -> m -> = -> y -> / -> 6 -> ; -> m -> Enter -> i -> n -> y -> t ->   -> n -> = -> y -> Shift -> % -> 6 -> ; -> 6 -> Shiftx7 -> * -> m -> Shift -> + -> 1 -> Shiftx6 -> + -> 2 -> Shift -> * -> m -> 1 ->   -> 1 -> 0 -> bx2 -> 0x3 -> Control -> c -> Enterx2 -> Control -> c -> Control -> v -> Enter -> a -> n -> a -> i -> n -> t ->   -> l -> e -> a -> e -> x -> t -> r -> a -> = -> 0 -> ; -> x -> e -> t -> r -> a -> - -> e -> x -> t -> r -> a -> - -> 2 -> Shiftx12 -> * -> n -> = -> + -> 1 -> Shift -> Backspacex10 -> 7 ->   -> 1 -> 3 -> Control -> c -> = -> -,"











          b   0
                       b


    int n=y%6;m
     c  m=y/6; 6*+1
    int extra=0;
    v     a-1
 c      1      n     =a

           extra       +2*m 0


    3
                           -extra-2*n+1

 c"
1138163-w002,1138163,AC,53.681,0,0,0,0,10,4,0,0,0,0,0,0,0,前100条已完成复核，沿用AI最终标签,Shift -> Unidentified -> I -> N -> Unidentifiedx2 -> Shift -> n -> c -> l -> u -> e -> d -> Shift -> Unidentified -> Shift -> Unidentified -> s -> t -> d -> i -> o -> Unidentified -> h -> Enter -> Shift -> Unidentified -> i -> n -> c -> l -> u -> d -> e -> Shift -> Unidentifiedx2 -> s -> r -> i -> t -> n -> g -> Unidentified -> h -> Enter -> Unidentified -> Shift -> i -> n -> c -> l -> u -> d -> e -> Shiftx3 -> Unidentifiedx2 -> m -> a -> t -> h -> Unidentified -> h -> Enter -> Shift -> Unidentified -> i -> n -> c -> l -> i -> u -> d -> e -> Shift -> Unidentifiedx2 -> s -> t -> d -> l -> i -> b -> Unidentified -> h -> Enterx2 -> i -> t -> Unidentified -> n -> m -> a -> i -> n -> Unidentified -> Shiftx2 -> Unidentified -> Enterx2 -> r -> e -> u -> r -> n," Include stdio h
 include string h
 include math h
 include stdlib h

int main
    int nl
    whilenscanf   d   n  EOF
        forint i   i nn i
            for int j i   j  n j

"
1138163-w003,1138163,AC,131.234,0,0,0,0,0,0,0,0,0,0,0,0,0,前100条已完成复核，沿用AI最终标签,Shift -> Unidentified -> I -> N -> Unidentifiedx2 -> Shift -> n -> c -> l -> u -> e -> d -> Shift -> Unidentified -> Shift -> Unidentified -> s -> t -> d -> i -> o -> Unidentified -> h -> Enter -> Shift -> Unidentified -> i -> n -> c -> l -> u -> d -> e -> Shift -> Unidentifiedx2 -> s -> r -> i -> t -> n -> g -> Unidentified -> h -> Enter -> Unidentified -> Shift -> i -> n -> c -> l -> u -> d -> e -> Shiftx3 -> Unidentifiedx2 -> m -> a -> t -> h -> Unidentified -> h -> Enter -> Shift -> Unidentified -> i -> n -> c -> l -> i -> u -> d -> e -> Shift -> Unidentifiedx2 -> s -> t -> d -> l -> i -> b -> Unidentified -> h -> Enterx2 -> i -> t -> Unidentified -> n -> m -> a -> i -> n -> Unidentified -> Shiftx2 -> Unidentified -> Enterx2 -> r -> e -> u -> r -> n," Include stdio h
 include string h
 include math h
 include stdlib h

int main
    int nl
    whilenscanf   d   n  EOF
        forint i   i nn i
            for int j i   j  n j

"
1138163-w004,1138163,AC,208.787,0,0,0,0,0,0,0,0,0,0,0,0,0,前100条已完成复核，沿用AI最终标签,Shift -> Unidentified -> I -> N -> Unidentifiedx2 -> Shift -> n -> c -> l -> u -> e -> d -> Shift -> Unidentified -> Shift -> Unidentified -> s -> t -> d -> i -> o -> Unidentified -> h -> Enter -> Shift -> Unidentified -> i -> n -> c -> l -> u -> d -> e -> Shift -> Unidentifiedx2 -> s -> r -> i -> t -> n -> g -> Unidentified -> h -> Enter -> Unidentified -> Shift -> i -> n -> c -> l -> u -> d -> e -> Shiftx3 -> Unidentifiedx2 -> m -> a -> t -> h -> Unidentified -> h -> Enter -> Shift -> Unidentified -> i -> n -> c -> l -> i -> u -> d -> e -> Shift -> Unidentifiedx2 -> s -> t -> d -> l -> i -> b -> Unidentified -> h -> Enterx2 -> i -> t -> Unidentified -> n -> m -> a -> i -> n -> Unidentified -> Shiftx2 -> Unidentified -> Enterx2 -> r -> e -> u -> r -> n," Include stdio h
 include string h
 include math h
 include stdlib h

int main
    int nl
    whilenscanf   d   n  EOF
        forint i   i nn i
            for int j i   j  n j

"
1080234-w003,1080234,WA,53.878,0,0,0,0,6,6,0,0,0,0,0,0,0,前100条已完成复核，沿用AI最终标签,"Shiftx24 -> + -> Shiftx2 -> = -> Shift -> { -> 3 -> 1 -> , -> 2 -> 8 -> , -> 3 -> 1 -> , -> 3 -> 0 -> , -> 3 -> 1 -> , -> 3 -> 0 -> , -> 3 -> 1 -> , -> 3 -> 1 -> , -> 3 -> 0 -> , -> 1 -> , -> 3x2 -> 0 -> , -> 1 -> 3 -> Shiftx29 -> } -> Shiftx3 -> ; -> Enter -> i -> n -> t ->   -> t -> o -> a -> l -> t -> Shift -> _ -> d -> a -> y -> s -> = -> 0 -> ; -> t -> o -> t -> a -> l -> = -> m -> o -> [ -> m -> - -> 1 -> ; -> Enter -> i -> f -> Shift -> ( -> m -> = -> 2 -> Shift -> &x2 -> i -> s -> 9 -> Shift -> ( -> y -> Shift -> { -> Enter -> t -> Shift -> +x2 -> ; -> Enter","#include<stdio.h>
int is_leap_year(int year {
int return(year%4==0&&year%400!=0 ||(year%400==  ;
    int y,m;
    while(scanf(""%d/%d ,&y,&m !=EOF {


    int month_ays [12 ={31,28,31,30,31,30,31,31,30,31,30,31};
    int total_days=0;

        votal     =mo        [m-1 ;
        if(m=2&&is          (y  {
            break;    ++;

        if(m<0||m>12||y<0 {      ;
            printf(""-1\n  ;
    return 0;"
1080234-w004,1080234,WA,2.818,5,5,7,6,7,6,0,0,1,1,1,5,0,前100条已完成复核，沿用AI最终标签,", -> 1 -> 3 -> Shiftx29 -> } -> Shiftx3 -> ; -> Enter -> i -> n -> t ->   -> t -> o -> a -> l -> t -> Shift -> _ -> d -> a -> y -> s -> = -> 0 -> ; -> t -> o -> t -> a -> l -> = -> m -> o -> [ -> m -> - -> 1 -> ; -> Enter -> i -> f -> Shift -> ( -> m -> = -> 2 -> Shift -> &x2 -> i -> s -> 9 -> Shift -> ( -> y -> Shift -> { -> Enter -> t -> Shift -> +x2 -> ; -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> "" -> % -> d -> \ -> n -> , -> t -> o -> ; -> Enter -> r -> e -> t -> u -> r -> n ->   -> 0 -> ; -> Enter -> f -> i -> Shift -> ( -> m -> Shiftx4 -> < -> 0 -> Shift","#include<stdio.h>
int is_leap_year(int year {
int return(year%4==0&&year%400!=0 ||(year%400==  ;
    int y,m;
    while(scanf(""%d/%d ,&y,&m !=EOF {


    int month_ays [12 ={31,28,31,30,31,30,31,31,30,31,30,31};
    int total_days=0;

        votal     =mo        [m-1 ;
        if(m=2&&is          (y  {
            break;    ++;

        if(m<0||m>12||y<0 {      ;
        else rintf(""-1\n  ;
    return 0printf(""29\n
            break;
         else{

                      v
        }"
1080234-w005,1080234,WA,76.142,0,0,0,0,0,0,0,0,0,0,0,0,0,前100条已完成复核，沿用AI最终标签,"Shiftx3 -> } -> Shiftx3 -> ; -> Enter -> i -> n -> t ->   -> t -> o -> a -> l -> t -> Shift -> _ -> d -> a -> y -> s -> = -> 0 -> ; -> t -> o -> t -> a -> l -> = -> m -> o -> [ -> m -> - -> 1 -> ; -> Enter -> i -> f -> Shift -> ( -> m -> = -> 2 -> Shift -> &x2 -> i -> s -> 9 -> Shift -> ( -> y -> Shift -> { -> Enter -> t -> Shift -> +x2 -> ; -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> "" -> % -> d -> \ -> n -> , -> t -> o -> ; -> Enter -> r -> e -> t -> u -> r -> n ->   -> 0 -> ; -> Enter -> f -> i -> Shift -> ( -> m -> Shiftx4 -> < -> 0 -> Shift -> |x2 -> m -> Shift","#include<stdio.h>
int is_leap_year(int year {
int return(year%4==0&&year%400!=0 ||(year%400==  ;
    int y,m;
    while(scanf(""%d/%d ,&y,&m !=EOF {


    int month_ays [12 ={31,28,31,30,31,30,31,31,30,31,30,31};
    int total_days=0;

        votal     =mo        [m-1 ;
        if(m=2&&is          (y  {
            break;    ++;

        else 0||m>12||y<0 {      ;
        else rintf(""-1\n  ;
    return 0break;(""29\n
         else{eak;
            e{

        }             v
        }"
