solution_id,problem_id,judge,type,detail,duration_s,total_keys,keys_10s_before,keys_30s_before,keys_10s_after,keys_30s_after,code_at_trigger,label,submitted_code
1366530,1533,NoData,NORMAL,random_30s_window,1228.4,420,0 -> Shiftx2 -> Enter -> Shift -> { -> } -> Enter,; -> Enterx2 -> i -> f -> Shift -> ( -> n -> Shift -> % -> 2 -> Shift -> ! -> = -> 0 -> Shiftx2 -> Enter -> Shift -> { -> } -> Enter,"p -> r -> i -> n -> t -> f -> Shift -> ( -> "" -> Shift -> N -> Shift -> O -> \ -> n -> ; -> Enter","p -> r -> i -> n -> t -> f -> Shift -> ( -> "" -> Shift -> N -> Shift -> O -> \ -> n -> ; -> Enter -> c -> o -> n -> t -> i -> n -> u -> e -> ; -> CapsLockx2 -> Enterx2","#<>stdio.h
int main(
{}
return 0;
int n;
while(scanf(""%d,&n!=EOF
{}
for(int i=0;i<n;i++
{}
scanf(""%d,m&;

if(n%2!=0
{}
pr",,"#include<stdio.h>
int main()
{
    int n,sum,m[101];
    while(scanf(""%d"",&n)!=EOF)
    {
        sum=0;
        if(n%2==0)
        {
            printf(""NO\n"");
            continue;
        }
        for(int i=0;i<n;i++)
        {
            scanf(""%d"",&m[i]);
            sum+=m[i];
        }
        if(sum%2!=0)printf(""YES\n"");
        else if(sum%2==0) printf(""NO\n"");
    }
    return 0;
}"
1150469,1834,OLE,NORMAL,random_30s_window,864.5,683,= -> x -> - -> 1 -> ; -> i -> Shift -> > -> = -> 0 -> ; -> i -> -x2 -> Shift -> { -> Enter -> r -> i -> n,j -> 0 -> Shift -> < -> j -> Shift -> < -> = -> x -> j -> Shift -> +x2 -> i -> = -> x -> - -> 1 -> ; -> i -> Shift -> > -> = -> 0 -> ; -> i -> -x2 -> Shift -> { -> Enter -> r -> i -> n,"p -> t -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d ->   -> , -> [ -> a -> [ -> i -> [ -> j -> ;","p -> t -> f -> Shift -> ( -> Shift -> "" -> Shift -> % -> d ->   -> , -> [ -> a -> [ -> i -> [ -> j -> ; -> Enter -> e -> l -> s -> e ->   -> i -> f -> Shift -> ( -> y -> =x2 -> Shift -> "" -> Shift -> X -> Shift -> { -> Enter -> Control -> c","#inlcclude <stdio.h>
int main({
return 0;
int x;
char yy;
while(scanf(""%d1%c!=EOF,&ax,&y!=EOF{
charchar a[x[x;\int
fo9(it int i=0;i<x;i++{
for(int j=0;j<x;j++{
a[i[j=count;
count++;
count=0;if(1
if(y===""'L{
for(int j=x;j-1.>=0;j--{
for(in t i=0;i<x;i++{
printf(""%d ,a[i[j;
printf(""\
else if(y=='R{
for(int fi=x-1;i>=0;i--{
for(int j=x-j0<j<=xj++i=x-1;i>=0;i--{
print",,"#include <stdio.h>
int main(){
    int x;
    char y;
    int count;
    while(scanf(""%1d%c"",&x,&y)!=EOF){
        int a[x][x];
        count=1;
        for(int i=0;i<x;i++){
            for(int j=0;j<x;j++){
                a[i][j]=count;
                count++;
            }
        }
        if(y=='L'){
            for(int j=x-1;j>=0;j--){
                for(int i=0;i<x;i++){
                    if(j==0&&i==x-1){
                    printf(""%d"",a[i][j]);
                    }
                    else{
                    printf(""%d "",a[i][j]);
                    }
                }
            }
        }
        else if(y=='R'){
            for(int j=0;j<x;j++){
                for(int i=x-1;i>=0;i--){
                    if(j==x-1&&i==0){
                    printf(""%d"",a[i][j]);
                    }
                    else{
                    printf(""%d "",a[i][j]);
                    }
                }
            }
        }
        else if(y=='X'){
            for(int i=x-1;i>=0;i--){
                for(int j=0;j<x;j++){
                    if(j==x-1&&i==0){
                    printf(""%d"",a[i][j]);
                    }
                    else{
                    printf(""%d "",a[i][j]);
                    }
                }
            }
        }
        else{
            for(int i=0;i<x;i++){
                for(int j=x-1;j>=0;j--){
                    if(j==0&&i==x-1){
                    printf(""%d"",a[i][j]);
                    }
                    else{
                    printf(""%d "",a[i][j]);
                    }
                }
            }
        }
        printf(""\n"");
    }
    return 0;
}"
1439761,1868,WA,NORMAL,random_30s_window,1649.6,1039,"Enter -> i -> n -> t ->   -> u -> , -> v -> , -> w -> e -> i","p -> a -> i -> r -> Shift -> < -> > -> i -> n -> t -> , -> i -> n -> t ->   -> p -> m -> l -> ; -> l ->   -> g -> [ -> ] -> 1 -> 0x2 -> 5 -> ; -> Enterx2 -> i -> n -> t ->   -> u -> , -> v -> , -> w -> e -> i",g -> h -> t -> ; -> Enter -> c -> i -> n -> Shift -> >x2 -> u -> Shift -> >x2 -> v -> Shift -> >x2 -> w -> e -> i -> g -> h -> t,g -> h -> t -> ; -> Enter -> c -> i -> n -> Shift -> >x2 -> u -> Shift -> >x2 -> v -> Shift -> >x2 -> w -> e -> i -> g -> h -> t -> ; -> Enter -> g -> [ -> ] -> u -> . -> p -> y -> u -> s -> y -> p -> u -> s -> h -> Shift -> ),"cc#<>bits/stdc++.h
uissing namespace std;
int main({
intint n,m;
cin>>n>>m;while(){
if(mn==0&&m==0{
break;





stu edge{{}
int u,v,weight;;
vector<>int deedgeedge> q;
for()int i=0;i<nn;i++{
cin>>q[]i.cuvvvw;
void dijstra(int start{



int dist[]10005[]1005;
priority_queue<>int,vector<>int.,greater<>int p;
p,/.push(start;
while(!qp.empty({


for(int i=0;i<,int nn1n=n;i++{
return dist[]i=INF;
const INF=int INF=0x3f3f3f3f;

dist[]start=0;
vector<>conttype pair<>int,int pml;l g[]1005;

int u,v,weig",,"#include<bits/stdc++.h>
using namespace std;
const int INF=0x3f3f3f3f;

typedef pair<int,int> l; //1->距离 2->目的地;
int dist[1005];
vector<l> g[1005];

void dijstra(int start,int n){
    for(int i=1;i<=n;i++){
        dist[i]=INF;
    }
    
    dist[start]=0;
    priority_queue<l,vector<l>,greater<l>> q;
    q.push({0,start});
    
    while(!q.empty()){
        auto it =q.top();
        int d=it.first;
        int u=it.second;
        q.pop();
        
        if(d>dist[u]) continue;
        for(auto [w,v]:g[u]){
            if(dist[v]>dist[u]+w){
                dist[v]=dist[u]+w;
                q.push({dist[v],v});
            }
        }
        
    }
    
}


int main(){
    int n,m;
    while(cin>>n>>m){
        for(int i=1;i<=n;i++){
            g[i].clear();
        }
     
        if(n==0&&m==0){
            break;
        }
        
        for(int i=0;i<m;i++){
            int u,v,weight;
            cin>>u>>v>>weight;
            g[u].push_back({weight,v});
        }
        
        dijstra(1,n);
        
        cout<<dist[n]<<endl;
        
        
    }
}"
1090065,1508,NoData,NORMAL,random_30s_window,1490.7,804,g ->   -> l -> o -> n -> g ->   -> n -> = -> 0 -> ; -> Enterx2 -> w -> h -> i -> l -> e -> Shiftx4 -> (,Enter -> l -> o -> n -> g ->   -> l -> o -> n -> g ->   -> n -> = -> 0 -> ; -> Enterx2 -> w -> h -> i -> l -> e -> Shiftx4 -> (,"s -> c -> a -> n -> f -> Shift -> * -> Shift -> ( -> "" -> % -> d -> lx2 -> , -> Shift -> &","s -> c -> a -> n -> f -> Shift -> * -> Shift -> ( -> "" -> % -> d -> lx2 -> , -> Shift -> & -> n -> Shift -> ! -> = -> Shift -> E -> O -> f -> Shift -> F -> Shift -> { -> Enterx2","#clude<srtdio.h>

int main({

long long n=0;

while(s",,"#include <stdio.h>
#include <stdbool.h>

#define MAX_N 100000  // 题目要求的最大n

// 判断一个数是否是幸运数字
int  isLucky(int num) {
    // 条件1：能被6整除
    if (num % 6 == 0) {
        return 1;
    }
    // 条件2：后三位包含数字6
    int lastThree = num % 1000;  // 取后三位
    while (lastThree > 0) {
        if (lastThree % 10 == 6) {
            return 1;
        }
        lastThree /= 10;
    }
    return 0;
}

int main() {
    int luckyList[MAX_N];
    int count = 0;
    int num = 6;  

    
    while (count < MAX_N) {
        if (isLucky(num)==1) {
            luckyList[count++] = num;
        }
        num++;
    }

    int n;
    while (scanf(""%d"", &n) != EOF) {
        printf(""%d\n"", luckyList[n - 1]);  
    }

    return 0;
}"
1165335,1683,CE,NORMAL,random_30s_window,833.3,320,i -> n -> t,", -> Shift -> ! -> = -> e -> Shift -> E -> O -> F -> Enter -> Shift -> { -> Enter -> i -> n -> t",  -> n -> u -> m -> = -> Shiftx18 -> ( -> n,  -> n -> u -> m -> = -> Shiftx18 -> ( -> n -> - -> 4 -> / -> 3 -> ; -> Enter,"#<stdio.h>
int main({

return 0;
int n;while
(scanf(""%d&,n,!=eEOF
{
int ",,"#include<stdio.h>
int main()
{
    int n;
    while(scanf(""%d"",&n)!=EOF)
    {
        int m=(n-4)/3;
        int len=m+2;
        for(int i=1;i<=len;i++)
        {
            printf(""%02d"",i);
        }
        printf(""\n"");
        for(int i=len+1;i<=len+m=1;i++)
        {
            for(int i=0;i<m;i++)
            {
                printf("" "");
            }
            printf(""%02d\n"",len);
        }
        
        
    }
    return 0;
}"
1379358,2112,MLE,NORMAL,random_30s_window,766.5,896,"+x2 -> Shift -> { -> Enter -> s -> c -> a -> n -> f -> Shift -> ( -> "" -> Shift -> % -> d -> , -> Shiftx2 -> & -> a -> rx2",i -> n -> t ->   -> a -> rx2 -> [ -> n -> ; -> Enter -> f -> r -> p -> o -> r -> Shift -> ( -> i -> n -> t ->   -> i -> = -> 0 -> ; -> i -> Shift -> < -> n -> ; -> i -> +x2 -> Shift -> { -> Enter -> s -> c -> a -> n -> f,[ -> i -> ; -> Enter,[ -> i -> ; -> Enter -> i -> n -> t ->   -> k -> ; -> Enter -> c -> h -> a -> r ->   -> o -> r -> d -> e -> r -> ; -> Enter -> s -> c -> a,"#Qinclude<.>stdio.h
int main(
{
int n;
    while(scanf('%d""%d,&n!=EOF{
int arr[n;
frpor(int i=0;i<n;i++{
scanf(""%d,&arr[",,"#include<stdio.h>
void move(int arr[],int n,int k)
{
    k%=n;
    int pre[k];
    for(int i=0;i<k;i++){
        pre[i]=arr[n-k+i];
    }
    for(int i=n-k-1;i>=0;i--){
        arr[i+k]=arr[i];
    }
    for(int i=0;i<k;i++){
        arr[i]=pre[i];
    }
}
int main()
{
    int n;
    while(scanf(""%d"",&n)!=EOF){
        int arr[n];
        for(int i=0;i<n;i++){
            scanf(""%d"",&arr[i]);
        }
        int k;
        char order;
        scanf(""%d %c"",&k,&order);
        if(order=='R'){
            move(arr,n,k);
            int cnt=0;
            for(int i=0;i<n;i++){
                printf(""%d "",arr[i]);
                cnt++;
                if(cnt==12){
                    cnt=0;
                    printf(""\n"");
                }
            }
            if(cnt==0){
                printf(""\n"");
            }else{
            printf(""\n\n"");
            }
        }else if(order=='L'){
            move(arr,n,n-k);
                       int cnt=0;
            for(int i=0;i<n;i++){
                printf(""%d "",arr[i]);
                cnt++;
                if(cnt==12){
                    cnt=0;
                    printf(""\n"");
                }
            }
            if(cnt==0){
                printf(""\n"");
            }else{
            printf(""\n\n"");
            }
        }
    }
    return 0;
}"
1355810,1536,PE,NORMAL,random_30s_window,1663.8,918,0 -> = -> Shift -> { -> Shift -> } -> 0,0x7 -> = -> Shift -> { -> Shift -> } -> 0,0 -> Shift -> { -> } -> 0,0 -> Shift -> { -> } -> 0,"##include<.>stdio.h

int main({



return 0;int a,b;
int num_1[10000000000;
intt num_2[100;
whil((scanf""%d%d ,&a,&b!=EOF{


whil(a>0{
int temp;
tempx
v=_1=0n[t=a%10;
a/=10;
cv222=0000000={}00",,"#include<stdio.h>

int max(int a,int b){
    if(a>b)return a;
    return b;
}

int main(){
    int a,b;
    while(scanf(""%d %d"",&a,&b)!=EOF){
    int num_1[1000]={0};
    int num_2[1000]={0};
    int num[1000]={0};
         int temp_1=0;
        while(a>0){
            num_1[temp_1]=a%10;
            temp_1++;
            a/=10;
        }
         int temp_2=0;
        while(b>0){
            num_2[temp_2]=b%10;
            temp_2++;
            b/=10;
        }
        for(int i=0;i<1000;i++){
            int m=num_2[i]+num_1[i];
            if(m>=10){
                m-=10;
            }
            num[i]=m;
        }
        int k=0;
        int op=1;
        for(int i=999;i>=0;i--){
            if(num[i]==0&&op==1){
                continue;
            }else{
                printf(""%d"",num[i]);
                op=0;
            }
        }
        if(op==1)printf(""%d\n"",k);
        printf(""\n"");
        
    }
    
    
    return 0;
}"
1106979,1902,AC,NORMAL,random_30s_window,1478.2,935,n -> ; -> Control -> Insert -> Enter -> f -> o -> r ->   -> Shift -> ( -> i -> n -> t ->   -> i ->   -> = ->   -> 0,"CapsLock -> Y -> CapsLock -> e -> s -> \ -> n -> ; ->   -> e -> l -> s -> e ->   -> Shift -> { -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> Shift -> "" -> CapsLock -> N -> CapsLock -> o -> \ -> n -> ; -> Control -> Insert -> Enter -> f -> o -> r",; ->   -> i ->   -> Shift -> < ->   -> 9x2 -> 0 -> 8 -> ; ->   -> i -> +x2 ->  ,; ->   -> i ->   -> Shift -> < ->   -> 9x2 -> 0 -> 8 -> ; ->   -> i -> +x2 ->   -> Shift -> { -> Enter -> Control -> c -> Control -> v ->  x5 -> Control -> Insert ->  x6,"#include<>stdio.h
#include<>stdbool.h

void isPrime(int num {
if (boolnum <= 1 return false;
if (n == 2 return true;
if for (umi = 2; i * i <= num; i += 2 [
{
if (n um % i == 10 erreturn tfalse;
return true;

int main ({
int prime[1000;
for (int i = 2; i < = 7919; i++ {
int 
int count = 0;if (ids(num {
primte[count++ = num;
int n;
while (scanf(""%dd, &n !=EOF {
if (n == prime[i + prime[i + 1 + prime[i + 2 {
printf(""Yes\n; else {
printf(""No\n;
for (int i = 0;",,"#include<stdio.h>
#include<stdbool.h>

bool isPrime(int num) {
    if (num <= 1) return false;
    if (num == 2) return true;
    if (num % 2 == 0) return false;
    for (int i = 3; i * i <= num; i += 2) {
        if (num % i == 0) return false;
    }
    return true;
}

int main(){
    int prime[1000];
    int count = 0;
    for (int i = 2; i <= 7919 && count < 1000; i++) {
        if (isPrime(i)) {
            prime[count++] = i;
        }
    }
    int n;
    while (scanf(""%d"", &n) !=EOF) {
        bool found = false;
        for (int i = 0; i < count - 2; i++) {
            if (n == prime[i] + prime[i + 1] + prime[i + 2]) {
                found = true;
                break;
            } 
        }
        printf(found ? ""Yes\n"" : ""No\n"");
    }
    return 0;
}"
1218084,1070,TLE,NORMAL,random_30s_window,709.9,552,f -> o -> r -> i -> t -> nx2 -> t ->  ,", -> Shiftx28 -> m -> e -> l -> [ -> i -> ; -> Enter -> f -> o -> r -> i -> t -> nx2 -> t ->  ",t -> o -> t -> a -> l -> = -> 0 -> ; -> Enter -> f -> o -> r -> Shift -> (,t -> o -> t -> a -> l -> = -> 0 -> ; -> Enter -> f -> o -> r -> Shift -> ( -> Enter,"#clude<stdio.h>
int main({
int n,t ,m;
while(scanf(""%d %d %d ,&n.,t&t,&m!=EOFD{
int amelon[n;
for(int i=0;i<n;i++{

  sscanf(for(int i=0;i<=in;i+=+[
{
scanf(""%d,mel[i;
foritnnt t",,"#include<stdio.h>
int main(){
    int n,t,m;
    while(scanf(""%d %d %d"",&n,&t,&m)!=EOF){
        int melon[n];
        for(int i=0;i<n;i++){
            scanf(""%d"",&melon[i]);
        }
        int count=0;
        int q=0;
        for(;q+m<=n-1;q++){
            int res=0;
            for(int k=0;k<m;k++){
                res+=melon[q+k];
            }
            if(res<=t) count++;
        }
        printf(""%d\n"",count);
    }
}"
1162277,1009,WA,NORMAL,random_30s_window,1066.2,426,CapsLock -> s -> u -> m -> Shift -> +x2 -> ; -> l -> e -> n ->   -> - ->  ,< ->   -> Enter -> i -> n -> t ->   -> s -> u -> m ->   -> = ->   -> 0 -> ; -> CapsLock -> S -> U -> CapsLock -> s -> u -> m -> Shift -> +x2 -> ; -> l -> e -> n ->   -> - ->  ,2 ->   -> Shift -> * ->   -> s -> u -> m -> ; -> i -> Shift -> +x2 -> Enter -> Shift -> { -> Enter -> p -> r,"2 ->   -> Shift -> * ->   -> s -> u -> m -> ; -> i -> Shift -> +x2 -> Enter -> Shift -> { -> Enter -> p -> r -> i -> n -> t -> f -> Shift -> ( -> "" -> % -> d -> , -> a -> rx2 -> [ -> i -> ;","#include <>stdio.h
int main(
{
return 0;
inchar arr[1000055
intchar
int %#include <>string.hint len = strlen(arr;
scanf(""%%s,arr;

char len [10005;;fkriror(int i = 0;i < nlen;i++
{
1
len[0 = arr[0';if(b arr[i == arrr[i - 1
{
for(int i j = i - 1;j < len - 2;j++

{
{
arr[i - j = arr[i j + 2;c

for(int i = 0;i < 
int sum = 0;SUsum++;len - 2",,"#include <stdio.h>
#include <string.h>
int main()
{
    char arr[100005];
   
    scanf(""%s"",arr);
    int len = strlen(arr);
    
    int sum = 0;
    for(int i = 1;i < len;i++)
    {
        if(arr[i] == arr[i - 1])
        {
            for(int j = i - 1;j < len - 2;j++)
            {
                arr[j] = arr[j + 2];
            }
        sum++;
        }
    }
    
    for(int i = 0;i < len - 2 * sum;i++)
    {
        printf(""%c"",arr[i]);
    }
    return 0;
}"
